date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:19:36	1337/1337	---MCZ	404	error ('Not%20Found')	text/html	etag:1729243043-ssl-df	https://therealprediction.online/robots.txt		(from )
17:19:36	16729/16729	---MCZ	200	added ('OK')	text/html	etag:%22318a92aab5aa3eb312aac13bdb5bf803-ssl-df%22	https://therealprediction.online/	C:/Users/perfect/Desktop/annaofficial/therealprediction.online/index.html	(from )
17:19:37	2199/2199	---M-Z	200	added ('OK')	text/css	etag:%226498a6bc-3c9%22	https://cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	C:/Users/perfect/Desktop/annaofficial/cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	(from https://therealprediction.online/)
17:19:37	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%226497b584-1ada%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/perfect/Desktop/annaofficial/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://therealprediction.online/)
17:19:38	4404/4404	---M-Z	200	added ('OK')	text/css	etag:%22cddf7b0fe2a385941709f67b7c6aa6a1-ssl-df%22	https://therealprediction.online/style.css	C:/Users/perfect/Desktop/annaofficial/therealprediction.online/style.css	(from https://therealprediction.online/)
17:19:39	246220/246220	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2007%20Mar%202025%2011:49:37%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/perfect/Desktop/annaofficial/connect.facebook.net/en_US/fbevents.js	(from https://therealprediction.online/)
17:19:40	138180/138180	---M--	200	added ('OK')	image/jpeg	etag:%222528ff84bcf20a1a1f60a129cbf9be62-ssl%22	https://therealprediction.online/images/06.jpeg	C:/Users/perfect/Desktop/annaofficial/therealprediction.online/images/06.jpg	(from https://therealprediction.online/)
17:19:41	74939/74939	---M--	200	added ('OK')	image/jpeg	etag:%2297450a6f0615fd0b28143838a6ae4198-ssl%22	https://therealprediction.online/images/04.jpeg	C:/Users/perfect/Desktop/annaofficial/therealprediction.online/images/04.jpg	(from https://therealprediction.online/)
17:19:42	76254/76254	---M--	200	added ('OK')	image/jpeg	etag:%220eae90922328948327feb212523486c8-ssl%22	https://therealprediction.online/images/05.jpeg	C:/Users/perfect/Desktop/annaofficial/therealprediction.online/images/05.jpg	(from https://therealprediction.online/)
17:19:42	176540/176540	---M--	200	added ('OK')	image/jpeg	etag:%220e5e575256ba560179ba59fd6b2316f0-ssl%22	https://therealprediction.online/images/07.jpeg	C:/Users/perfect/Desktop/annaofficial/therealprediction.online/images/07.jpg	(from https://therealprediction.online/)
